# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
2022.7109878; 16.3992201; -126.7832797; -1.8083270; -0.0041482; 18.6665343; 5.4465095
2024.7097141; 18.3409584; -127.2614383; -1.8159309; -0.0034508; 19.2408853; 5.4705517
2026.7084403; 20.2774687; -127.7526073; -1.8224163; -0.0033056; 19.8010085; 5.4936888
2028.7071666; 22.2112215; -128.2567607; -1.8293569; -0.0036225; 20.3479900; 5.4061654
2030.7058929; 24.1415512; -128.7747451; -1.8365470; -0.0035733; 20.8722684; 5.4228205
2032.7046192; 26.0682654; -129.3065383; -1.8436367; -0.0035148; 21.3852532; 5.4413199
2034.7033454; 27.9912281; -129.8518608; -1.8505913; -0.0034439; 21.8879070; 5.3679866
2036.7020717; 29.9101941; -130.4103519; -1.8574074; -0.0033769; 22.3727232; 5.3798850
2038.7007980; 31.8254371; -130.9818097; -1.8640927; -0.0033150; 22.8482949; 5.3950066
2040.6995242; 33.7370565; -131.5660085; -1.8706611; -0.0032570; 23.3154640; 5.3287686
2042.6982505; 35.6444848; -132.1625318; -1.8771144; -0.0032011; 23.7678851; 5.3374338
2044.6969768; 37.5481934; -132.7712914; -1.8834619; -0.0031553; 24.2125691; 5.3497686
2046.6957031; 39.4482968; -133.3921355; -1.8897320; -0.0031160; 24.6502322; 5.2884026
2048.6944293; 41.3440508; -134.0246238; -1.8958751; -0.0030317; 25.0753681; 5.2965850
2050.6931556; 43.2361464; -134.6686374; -1.9017958; -0.0028464; 25.4940568; 5.3081057
2052.6918819; 45.1248428; -135.3234957; -1.9072151; -0.0025684; 25.9068685; 5.2553064
2054.6906082; 47.0097209; -135.9877527; -1.9118634; -0.0020838; 26.3091937; 5.2649441
2056.6893344; 48.8920833; -136.6599322; -1.9154975; -0.0015096; 26.7061797; 5.2765448
2058.6880607; 50.7725452; -137.3378258; -1.9178615; -0.0008538; 27.0982061; 5.2242568
2060.6867870; 52.6516248; -138.0187807; -1.9188154; -0.0001010; 27.4808386; 5.2297643
